skill_name,source,author,published_date,description,evidence,attack_chain,risk_category,impact_scope,confidence,severity,mitigation
amir,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-161ks,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-2yq87,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-3rk1s,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-5buwl,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-5fhqm,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-8xwp6,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-deza8,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-dzuba,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-e89da,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-eclpb,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-gw6f5,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-hfmct,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-jkiuq,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-lth9t,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-m0fsa,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-mclql,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-mkukz,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-mn5ri,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-nlt3m,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-ocn18,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-p5rmt,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-qdyme,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-se38e,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-sxdg2,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-xcgnm,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-xsunp,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
base-agent,Koi ClawHavoc report,未确认,2026-02-01,伪装交易/认证工具,Koi 将其归入 AuthTool Campaign 恶意/可疑技能清单,技能使用→植入恶意流程,凭据窃取/交易场景,交易账户/钱包/主机,5,高,立即下架/阻断IOC/轮换凭据
better-polymarket,Koi ClawHavoc report,未确认,2026-02-01,功能正常但藏后门,Koi 将其归入 Hidden Backdoor 恶意/可疑技能清单,正常功能调用→触发隐藏后门,隐藏后门/反连,主机完全控制,5,高,立即下架/阻断IOC/轮换凭据
bird-js,openclaw/skills archive,sakaen736jih,未确认,伪装社交媒体/X 工具,归档 SKILL.md 含 base64|bash 模式,Prerequisites→base64→payload,tool poisoning/远程执行,主机+浏览器数据,5,高,立即下架/阻断IOC/轮换凭据
