nohup: ignoring input
{"event":"skillsmp_selected","latest_limit":100000,"latest_count":100000,"openclaw_count":113,"total_unique":100095,"target_offset":0,"target_count":0}
{"event":"skillsmp_progress","done":1,"total":100095,"errors":1,"last":{"skill_id":"spencerbeggs-vitest-agent-plugin-skills-debugging-skill-md","status":"error","error":"githubUrl not found in skill page"}}
{"event":"skillsmp_progress","done":2,"total":100095,"errors":2,"last":{"skill_id":"spencerbeggs-vitest-agent-plugin-skills-tdd-skill-md","status":"error","error":"githubUrl not found in skill page"}}
{"event":"skillsmp_progress","done":3,"total":100095,"errors":3,"last":{"skill_id":"spencerbeggs-vitest-agent-claude-skills-dogfood-skill-md","status":"error","error":"githubUrl not found in skill page"}}
{"event":"skillsmp_progress","done":4,"total":100095,"errors":4,"last":{"skill_id":"spencerbeggs-vitest-agent-plugin-skills-configuration-skill-md","status":"error","error":"githubUrl not found in skill page"}}
{"event":"skillsmp_progress","done":5,"total":100095,"errors":5,"last":{"skill_id":"spencerbeggs-vitest-agent-plugin-skills-coverage-improvement-skill-md","status":"error","error":"githubUrl not found in skill page"}}
{"event":"skillsmp_progress","done":6,"total":100095,"errors":6,"last":{"skill_id":"leanethereum-leanspec-claude-skills-client-test-skill-md","status":"error","error":"githubUrl not found in skill page"}}
{"event":"skillsmp_progress","done":7,"total":100095,"errors":7,"last":{"skill_id":"ryanj-quarkus-skills-runner-agents-skills-init-repo-skill-md","status":"error","error":"githubUrl not found in skill page"}}
{"event":"skillsmp_progress","done":8,"total":100095,"errors":8,"last":{"skill_id":"zhangqi444-open-forge-dist-hermes-skill-md","status":"error","error":"githubUrl not found in skill page"}}
{"event":"skillsmp_progress","done":9,"total":100095,"errors":9,"last":{"skill_id":"zhangqi444-open-forge-dist-openclaw-skill-md","status":"error","error":"githubUrl not found in skill page"}}
{"event":"skillsmp_progress","done":10,"total":100095,"errors":10,"last":{"skill_id":"ghabs-org-nexus-router-plugin-skill-md","status":"error","error":"githubUrl not found in skill page"}}
{"event":"skillsmp_progress","done":11,"total":100095,"errors":11,"last":{"skill_id":"t7sen-our-space-skill-md","status":"error","error":"githubUrl not found in skill page"}}
{"event":"skillsmp_progress","done":12,"total":100095,"errors":12,"last":{"skill_id":"irishbruse-dotfiles-home-agents-skills-questions-skill-md","status":"error","error":"githubUrl not found in skill page"}}
{"event":"skillsmp_progress","done":13,"total":100095,"errors":13,"last":{"skill_id":"mrwaip-svelte-rs-2-claude-skills-triage-skill-md","status":"error","error":"githubUrl not found in skill page"}}
{"event":"skillsmp_progress","done":14,"total":100095,"errors":14,"last":{"skill_id":"mrwaip-svelte-rs-2-claude-skills-to-issues-skill-md","status":"error","error":"githubUrl not found in skill page"}}
{"event":"skillsmp_progress","done":15,"total":100095,"errors":15,"last":{"skill_id":"mrwaip-svelte-rs-2-claude-skills-grill-with-docs-skill-md","status":"error","error":"githubUrl not found in skill page"}}
{"event":"skillsmp_progress","done":16,"total":100095,"errors":16,"last":{"skill_id":"mrwaip-svelte-rs-2-claude-skills-port-skill-md","status":"error","error":"githubUrl not found in skill page"}}
{"event":"skillsmp_progress","done":17,"total":100095,"errors":17,"last":{"skill_id":"mrwaip-svelte-rs-2-claude-skills-to-prd-skill-md","status":"error","error":"githubUrl not found in skill page"}}
{"event":"skillsmp_progress","done":18,"total":100095,"errors":18,"last":{"skill_id":"mrwaip-svelte-rs-2-claude-skills-profile-skill-md","status":"error","error":"githubUrl not found in skill page"}}
{"event":"skillsmp_progress","done":19,"total":100095,"errors":19,"last":{"skill_id":"mrwaip-svelte-rs-2-claude-skills-improve-codebase-architecture-skill-md","status":"error","error":"githubUrl not found in skill page"}}
{"event":"skillsmp_progress","done":20,"total":100095,"errors":20,"last":{"skill_id":"mrwaip-svelte-rs-2-claude-skills-diagnose-diagnostics-skill-md","status":"error","error":"githubUrl not found in skill page"}}
{"event":"skillsmp_progress","done":21,"total":100095,"errors":21,"last":{"skill_id":"mrwaip-svelte-rs-2-claude-skills-audit-skill-md","status":"error","error":"githubUrl not found in skill page"}}
{"event":"skillsmp_progress","done":22,"total":100095,"errors":22,"last":{"skill_id":"mrwaip-svelte-rs-2-claude-skills-diagnose-matt-skill-md","status":"error","error":"githubUrl not found in skill page"}}
{"event":"skillsmp_progress","done":23,"total":100095,"errors":23,"last":{"skill_id":"mrwaip-svelte-rs-2-claude-skills-fix-test-skill-md","status":"error","error":"githubUrl not found in skill page"}}
{"event":"skillsmp_progress","done":24,"total":100095,"errors":24,"last":{"skill_id":"mrwaip-svelte-rs-2-claude-skills-diagnose-skill-md","status":"error","error":"githubUrl not found in skill page"}}
{"event":"skillsmp_progress","done":25,"total":100095,"errors":25,"last":{"skill_id":"coalesce-labs-catalyst-plugins-dev-skills-oneshot-skill-md","status":"error","error":"githubUrl not found in skill page"}}
{"event":"skillsmp_progress","done":26,"total":100095,"errors":26,"last":{"skill_id":"coalesce-labs-catalyst-plugins-dev-skills-monitor-events-skill-md","status":"error","error":"githubUrl not found in skill page"}}
{"event":"skillsmp_progress","done":27,"total":100095,"errors":27,"last":{"skill_id":"coalesce-labs-catalyst-plugins-dev-skills-merge-pr-skill-md","status":"error","error":"githubUrl not found in skill page"}}
{"event":"skillsmp_progress","done":28,"total":100095,"errors":28,"last":{"skill_id":"coalesce-labs-catalyst-plugins-dev-skills-wait-for-github-skill-md","status":"error","error":"githubUrl not found in skill page"}}
{"event":"skillsmp_progress","done":29,"total":100095,"errors":29,"last":{"skill_id":"atomicinnovation-accelerator-skills-visualisation-visualise-skill-md","status":"error","error":"githubUrl not found in skill page"}}
